,GEO.id,GEO.id2,GEO.display-label,HD01_VD01,year
157,0500000US05093,5093,"Mississippi County, Arkansas",46815,2010
158,0500000US05095,5095,"Monroe County, Arkansas",8492,2010
159,0500000US05097,5097,"Montgomery County, Arkansas",9490,2010
160,0500000US05099,5099,"Nevada County, Arkansas",9149,2010
161,0500000US05101,5101,"Newton County, Arkansas",8394,2010
162,0500000US05103,5103,"Ouachita County, Arkansas",26293,2010
163,0500000US05105,5105,"Perry County, Arkansas",10435,2010
164,0500000US05107,5107,"Phillips County, Arkansas",22412,2010
165,0500000US05109,5109,"Pike County, Arkansas",11286,2010
166,0500000US05111,5111,"Poinsett County, Arkansas",24703,2010
167,0500000US05113,5113,"Polk County, Arkansas",20490,2010
168,0500000US05115,5115,"Pope County, Arkansas",60460,2010
169,0500000US05117,5117,"Prairie County, Arkansas",8839,2010
170,0500000US05119,5119,"Pulaski County, Arkansas",377060,2010
171,0500000US05121,5121,"Randolph County, Arkansas",18049,2010
172,0500000US05123,5123,"St. Francis County, Arkansas",28302,2010
173,0500000US05125,5125,"Saline County, Arkansas",102439,2010
174,0500000US05127,5127,"Scott County, Arkansas",11226,2010
175,0500000US05129,5129,"Searcy County, Arkansas",8227,2010
176,0500000US05131,5131,"Sebastian County, Arkansas",123847,2010
177,0500000US05133,5133,"Sevier County, Arkansas",16636,2010
178,0500000US05135,5135,"Sharp County, Arkansas",17432,2010
179,0500000US05137,5137,"Stone County, Arkansas",12321,2010
180,0500000US05139,5139,"Union County, Arkansas",42180,2010
181,0500000US05141,5141,"Van Buren County, Arkansas",17237,2010
182,0500000US05143,5143,"Washington County, Arkansas",197192,2010
183,0500000US05145,5145,"White County, Arkansas",74957,2010
184,0500000US05147,5147,"Woodruff County, Arkansas",7505,2010
185,0500000US05149,5149,"Yell County, Arkansas",21895,2010
186,0500000US06001,6001,"Alameda County, California",1477980,2010
187,0500000US06003,6003,"Alpine County, California",1176,2010
188,0500000US06005,6005,"Amador County, California",38327,2010
189,0500000US06007,6007,"Butte County, California",218635,2010
190,0500000US06009,6009,"Calaveras County, California",45994,2010
191,0500000US06011,6011,"Colusa County, California",21165,2010
192,0500000US06013,6013,"Contra Costa County, California",1024809,2010
193,0500000US06015,6015,"Del Norte County, California",28471,2010
194,0500000US06017,6017,"El Dorado County, California",179053,2010
195,0500000US06019,6019,"Fresno County, California",908830,2010
196,0500000US06021,6021,"Glenn County, California",27935,2010
197,0500000US06023,6023,"Humboldt County, California",133058,2010
198,0500000US06025,6025,"Imperial County, California",168052,2010
199,0500000US06027,6027,"Inyo County, California",18434,2010
200,0500000US06029,6029,"Kern County, California",815693,2010
201,0500000US06031,6031,"Kings County, California",151122,2010
202,0500000US06033,6033,"Lake County, California",64371,2010
203,0500000US06035,6035,"Lassen County, California",35081,2010
204,0500000US06037,6037,"Los Angeles County, California",9758256,2010
205,0500000US06039,6039,"Madera County, California",147738,2010
206,0500000US06041,6041,"Marin County, California",248601,2010
207,0500000US06043,6043,"Mariposa County, California",18290,2010
208,0500000US06045,6045,"Mendocino County, California",87487,2010
209,0500000US06047,6047,"Merced County, California",250699,2010
210,0500000US06049,6049,"Modoc County, California",9605,2010
211,0500000US06051,6051,"Mono County, California",13905,2010
212,0500000US06053,6053,"Monterey County, California",407435,2010
213,0500000US06055,6055,"Napa County, California",134051,2010
214,0500000US06057,6057,"Nevada County, California",98186,2010
215,0500000US06059,6059,"Orange County, California",2965525,2010
216,0500000US06061,6061,"Placer County, California",336477,2010
217,0500000US06063,6063,"Plumas County, California",20392,2010
218,0500000US06065,6065,"Riverside County, California",2109464,2010
219,0500000US06067,6067,"Sacramento County, California",1395144,2010
220,0500000US06069,6069,"San Benito County, California",54492,2010
